age,sex,marker,mean,median,std,hdi_lower,hdi_upper
42.1,F,hp,1.0029080068153957,1.0014907527333685,0.0036083637597867104,1.000103579848519,1.010550695922908
42.6,F,hp,1.0035032613272068,1.0018490893953502,0.004259207607395013,1.0000534570121187,1.0124590492935046
43.1,F,hp,1.0042523028119954,1.0023576496997846,0.005005958740631191,1.000043438256402,1.0148259950451866
43.6,F,hp,1.0051803736255343,1.0029885454750442,0.0058552117931482085,1.0000367118818694,1.017509512338522
44.1,F,hp,1.0063161239761995,1.0039899196701292,0.006812431766140112,1.0000337708405147,1.0208007868178046
44.6,F,hp,1.0076914075329697,1.0051544220124842,0.007881334606074198,1.0000359307522304,1.024096868986989
45.1,F,hp,1.0093408581956855,1.0065890334657568,0.009063224105060514,1.0000361144253553,1.0275442833883155
45.6,F,hp,1.0113011866968185,1.008297094592266,0.010356316725042313,1.0000307420170833,1.0313951201859086
46.1,F,hp,1.0136101333801668,1.0103597890862726,0.011755108293447919,1.0000288042196313,1.0363247456245575
46.6,F,hp,1.0163050162099654,1.0127867166067395,0.013249859761097504,1.0000323240130509,1.0414349383440968
47.1,F,hp,1.0194208230670443,1.015771578641661,0.014826300015349488,1.0000454995358496,1.0479208428472475
47.6,F,hp,1.022987817235824,1.0190067727021117,0.016465656232260567,1.0003607263944656,1.0546045939709667
48.1,F,hp,1.0270286572906149,1.0228157840480039,0.018145117691060315,1.000639162043635,1.0600977525397652
48.6,F,hp,1.0315550796467774,1.0273159872371629,0.01983880655692096,1.0011033580509348,1.0668496269074017
49.1,F,hp,1.0365642552256156,1.0325826550489687,0.021519258658159797,1.001844319313694,1.074618917406861
49.6,F,hp,1.0420350105450464,1.038347538063145,0.023159304018427487,1.0026133140329816,1.082628675931512
50.1,F,hp,1.0479241945730917,1.0442813737635497,0.02473408845440272,1.0038453367973674,1.090284268944556
50.6,F,hp,1.0541635677385472,1.0504539582595251,0.026222821795818155,1.0051772156112109,1.0978894738641887
51.1,F,hp,1.0606576743531677,1.0572078544512604,0.027609730466757524,1.0073775250998271,1.106943908648461
51.6,F,hp,1.0672832133658938,1.0636812148593764,0.02888371534826744,1.0094467680046972,1.1146979113245536
52.1,F,hp,1.0738904184063016,1.0706347935499374,0.03003646169984517,1.010728018591058,1.123482855529823
52.6,F,hp,1.0803068691291202,1.077098493564191,0.031059261443595308,1.0240101836521518,1.141566278559302
53.1,F,hp,1.0863439618609712,1.0833561348093073,0.03193950031781207,1.0307847477335665,1.1487284636696793
53.6,F,hp,1.091805966319734,1.0890279710298751,0.032658350458209195,1.0324058163850023,1.1518692107107407
54.1,F,hp,1.0965012123223898,1.0938923541906105,0.03319128799012187,1.0393176558908206,1.161653421072381
54.6,F,hp,1.1002545433716238,1.09768386877345,0.03351234127501559,1.0431948518076788,1.1671061834660468
55.1,F,hp,1.1029198259853188,1.100759056705955,0.03360157357575959,1.040387847990346,1.1660328214796387
55.6,F,hp,1.1043911055475475,1.1028023126344184,0.0334537480418803,1.041621312636126,1.1661136100390466
56.1,F,hp,1.1046110237325986,1.1029836517171476,0.0330851081446887,1.0428628643028703,1.165382291893054
56.6,F,hp,1.1035753868250735,1.102288964209822,0.03253523255195388,1.0444713341155956,1.1669285830526062
57.1,F,hp,1.1013332656653403,1.100226016321758,0.03186211989522813,1.0409313540938623,1.159970631498669
57.6,F,hp,1.0979826258555145,1.0972888557310678,0.031130811653718653,1.0388723933810748,1.1568702403636157
58.1,F,hp,1.0936621052022415,1.0926714921903682,0.030398421445432824,1.036157258573594,1.1524638162723424
58.6,F,hp,1.0885400476689349,1.0871931118592575,0.029700422936847777,1.037678668961747,1.1497815705672718
59.1,F,hp,1.0828021777080181,1.0814658976291125,0.029043191601231012,1.0350300457501131,1.1443275845412124
59.6,F,hp,1.0766393218407093,1.0739175728587491,0.028405439885421078,1.026376645182313,1.1327586857421823
60.1,F,hp,1.0702363829881123,1.06780771138486,0.02774735398939859,1.0193246968259624,1.1229295135236257
60.6,F,hp,1.063763420398222,1.0607629617698966,0.027023274625436213,1.0102123536695784,1.110084270798957
61.1,F,hp,1.0573692766203284,1.054071316629596,0.02619331849434795,1.0075485763505472,1.1035951081220152
61.6,F,hp,1.0511778080423335,1.0472666244885072,0.02523103201723138,1.0102517772233797,1.1024094576640502
62.1,F,hp,1.0452864760685627,1.0411285108702684,0.024126405820216114,1.0031032094460965,1.089094396405112
62.6,F,hp,1.0397668681007286,1.0352731360690868,0.022885122771548416,1.0020391955937162,1.0817933065717666
63.1,F,hp,1.034666637935586,1.0301690278378586,0.021525485384116496,1.000623703398896,1.0748458111314767
63.6,F,hp,1.0300123617879238,1.0254666422588343,0.020074373247451795,1.0007093854866091,1.0684054983482223
64.1,F,hp,1.0258128689986796,1.0214032880640183,0.018563204773830864,1.0002519881162402,1.0619946972481782
64.6,F,hp,1.022062697066563,1.0178824926214372,0.017024472110783784,1.000136642755312,1.0551085966566147
65.1,F,hp,1.0187454169116081,1.0147162093414452,0.015489094543202504,1.000064875598279,1.0490811161234477
65.6,F,hp,1.0158366622001036,1.0119032029557251,0.013984619555862351,1.0000296256941432,1.0438800737095983
66.1,F,hp,1.0133067691699487,1.009502784568265,0.012534178680628272,1.0000130122571662,1.038973920325867
66.6,F,hp,1.0111229888205804,1.0075686679020395,0.011156051738295246,1.0000054972170942,1.0339238477897676
67.1,F,hp,1.009251272720723,1.005906504104339,0.009863682877761386,1.0000022338729369,1.0293600291196756
67.6,F,hp,1.0076576595909124,1.0045127660386979,0.008666005144170626,1.0000008732539887,1.025370883270079
68.1,F,hp,1.0063093051400671,1.0034175566914587,0.007567953898085854,1.0000003284584884,1.0217042131361094
68.6,F,hp,1.0051752050826874,1.0025554349582015,0.006571075472497393,1.000000118928678,1.0180144425545188
69.1,F,hp,1.0042266631197987,1.0018539766587466,0.005674161995777663,1.0000000415000694,1.0151669039753852
69.6,F,hp,1.0034375537597133,1.0013568106298445,0.004873864569858654,1.000000013994242,1.0129102323144445
70.1,F,hp,1.0027844255952498,1.0010017483420919,0.0041652543972001055,1.0000000045908266,1.0106288885768107
70.6,F,hp,1.0022464851052115,1.0007240424001322,0.003542315009759474,1.0000000014892567,1.0088615088689254
71.1,F,hp,1.0018054949860162,1.0005145651099636,0.0029983587840428662,1.000000000496094,1.0073147255787367
