age,sex,body_weight,r_form,r_resorp,r_to,FBFR,TFBFR,CFBFR,f_form,f_resorp,net_accretion,k3,k4,Ki
36.6,F,57.833320083296286,1.0001133541738036,1.0000858743756194,1.0,0.10001133541738037,0.3250368401064862,0.043754959245103905,0.17583322222379846,0.17582839090998725,4.831313811209936e-06,0.1320149627509421,0.0020001717487512388,0.03587961331764587
37.1,F,57.85410478877652,1.0001731180841351,1.000131150064786,1.0,0.10001731180841351,0.32505626337734395,0.04375757391618091,0.175906925956893,0.1758995447694378,7.381187455191007e-06,0.13202285158710583,0.0020002623001295723,0.035881031614650845
37.6,F,57.87437680292564,1.000261147403802,1.0001978389429933,1.0,0.1000261147403802,0.3250848729062356,0.04376142519891633,0.17598405126037012,0.17597291288971453,1.113837065558343e-05,0.13203447145730185,0.002000395677885987,0.035883120592345226
38.1,F,57.89415501613842,1.0003891054682772,1.000294776870401,1.0,0.10003891054682773,0.3251264592771901,0.04376702336423712,0.17606671312324693,0.1760501114568645,1.660166638242644e-05,0.1320513619218126,0.002000589553740802,0.035886156876226934
38.6,F,57.91345736810883,1.0005726474066616,1.0004338237932646,1.0,0.10005726474066617,0.32518611040716505,0.04377505332404144,0.17615772893221573,0.17613328807575063,2.444085646510774e-05,0.13207558945767933,0.0020008676475865295,0.03589051163641943
39.1,F,57.93230091435957,1.0008324259364942,1.0006306257096984,1.0,0.10008324259364942,0.32527053842936066,0.04378641863472162,0.17626079680317247,0.17622525691872398,3.553988444848777e-05,0.13210988022361725,0.002001261251419397,0.035896674279760135
39.6,F,57.9507018857037,1.001195204580291,1.0009054580155319,1.0,0.1001195204580291,0.3253884414885946,0.04380229020038773,0.17638069308328685,0.1763296483922247,5.104469106215204e-05,0.13215776700459841,0.0020018109160310636,0.035905278549337005
40.1,F,57.96867574177428,1.001695029395432,1.0012841131784675,1.0,0.10016950293954321,0.32555088455351544,0.04382415753605015,0.17652348042755941,0.17645106680998712,7.241361757229225e-05,0.13222374388019703,0.002002568226356935,0.0359171297777407
40.6,F,57.986237219522174,1.0023743818261734,1.0017987741108132,1.0,0.10023743818261735,0.3257716740935064,0.043853879204895085,0.17669671280952695,0.176595245739921,0.00010146706960595386,0.1323134184010549,0.0020035975482216263,0.03593323131950493
41.1,F,58.003400377399835,1.0032852031041948,1.0024887902305024,1.0,0.10032852031041949,0.3260676910088633,0.04389372763580852,0.1769096181182555,0.1767691863677289,0.0001404317505266095,0.13243364680975372,0.002004977580461005,0.035954807370057844
41.6,F,58.02017863581017,1.0044896473467153,1.0034012479899714,1.0,0.10044896473467153,0.3264591353876825,0.04394642207141879,0.1771732330817103,0.17698125974138992,0.00019197334032036717,0.13259263344976643,0.002006802495979943,0.03598331853199892
42.1,F,58.03658481429069,1.0060603900136837,1.0045912045558454,1.0,0.10060603900136839,0.32696962675444724,0.04401514206309866,0.1775004598261157,0.17724124964656315,0.0002592101795525492,0.13279997148180625,0.0020091824091116907,0.036020465722390184
42.6,F,58.052631165819975,1.008080295774968,1.006121436193174,1.0,0.1008080295774968,0.3276260961268646,0.04410351294015485,0.177906009332311,0.1775603097957761,0.00034569953653487695,0.13306659904229579,0.002012242872386348,0.0360681774741847
43.1,F,58.06832940856688,1.0106412410765393,1.008061546270117,1.0,0.10106412410765393,0.3284584033498753,0.04421555429709859,0.17840619544217465,0.17795080779608421,0.0004553876460904327,0.13340464382210318,0.002016123092540234,0.03612857555049882
43.6,F,58.08369075535202,1.0138418980427277,1.0104862863960136,1.0,0.10138418980427277,0.32949861686388654,0.04435558303936934,0.17901854501342812,0.1784260298335124,0.0005925151799157091,0.13382713054164005,0.002020972572792027,0.036203914256280195
44.1,F,58.098725941049295,1.017784323491921,1.0134729723423699,1.0,0.10177843234919211,0.3307799051348744,0.044528064152771545,0.1797611963320663,0.17899972494509114,0.0007614713869751599,0.13434753070093358,0.0020269459446847398,0.036296490075667175
44.6,F,58.11344524812246,1.022569263793463,1.0170979271162635,1.0,0.1022569263793463,0.33233501073287547,0.044737405290964,0.1806520696885779,0.17968547668632748,0.0009665930022504099,0.1349791428207371,0.002034195854232527,0.03640852040212432
45.1,F,58.12785853046547,1.0282901842278944,1.0214319577484074,1.0,0.10282901842278945,0.3341943098740657,0.04498769555997038,0.18170781132547859,0.18049590310902727,0.0012119082164513129,0.13573430431808206,0.002042863915496815,0.03654199316626815
45.6,F,58.14197523569331,1.0350261576690445,1.026534967931096,1.0,0.10350261576690445,0.3363835012424395,0.045282394398020696,0.1829425342915647,0.18144170287942996,0.001500831412134751,0.1366234528123139,0.0020530699358621922,0.03669849294282332
46.1,F,58.15580442601229,1.0428338943063316,1.0324499199290402,1.0,0.10428338943063316,0.3389210156495578,0.045623982875902004,0.18436640577853122,0.18253058509405773,0.0018358206844734937,0.13765407404843577,0.0020648998398580805,0.03687901327498507
46.6,F,58.16935479778407,1.0517393493403837,1.0391964767730186,1.0,0.10517393493403837,0.3418152885356247,0.04601359653364179,0.18598415807437688,0.18376614122853135,0.002218016845845522,0.13882959411293067,0.0020783929535460374,0.03708376893831854
